"Address","MahMorajeh","NeshaniSarparast","NameSarparast","ShoghlSarparast","NoeKhn","Takmil","TakmilDesc","Jaygozin","JaygozinDesc","BlkAbdJaygozin","RadifJaygozin","fStat","fEnt","fvfy","user1","user2","user3","user4"
1270085005,"2",NA,NA,"خوار و بار فروش",1,1,NA,1,"اقامتگاه دوم بوده و فعلا خالي است","7","6",3,991,0,"Admin",NA,"Admin",NA
1270009003,"3",NA,NA,"درآمد بدون کار",1,1,NA,2,NA,NA,NA,3,668,0,"Admin",NA,"Admin",NA
1270137001,"3",NA,NA,"بازنشسته معدن",1,1,NA,2,NA,NA,NA,3,669,0,"Admin",NA,"Admin",NA
1270137002,"3",NA,NA,"کارگر ساده ساختماني",1,1,NA,2,NA,NA,NA,4,750,1,"Admin",NA,"Admin",NA
1270137003,"3",NA,NA,"راننده نيسان",1,1,NA,2,NA,NA,NA,4,816,0,"Admin",NA,"Admin",NA
1270137004,"3",NA,NA,"کارگر ساده ساختماني",1,1,NA,2,NA,NA,NA,4,635,0,"Admin",NA,"Admin",NA
1270137005,"3",NA,NA,"داراي درامد بدون کار",1,1,NA,2,NA,NA,NA,3,330,0,"Admin",NA,"Admin",NA
1270117001,"4",NA,NA,"دستفروش",1,1,NA,2,NA,NA,NA,3,628,0,"Admin",NA,"Admin",NA
1270117002,"4",NA,NA,"دامدار سنتي",1,1,NA,2,NA,NA,NA,4,678,0,"Admin",NA,"Admin",NA
1270117003,"4",NA,NA,"کشاورز",1,1,NA,2,NA,NA,NA,3,700,0,"Admin",NA,"Admin",NA
1270117004,"4",NA,NA,"کارمند امور اداري جهاد کشاورزي",1,1,NA,2,NA,NA,NA,3,907,1,"Admin",NA,"Admin",NA
1270117005,"4",NA,NA,"دست فروش",1,1,NA,2,NA,NA,NA,3,777,1,"Admin",NA,"Admin",NA
1270001001,"2",NA,NA,"فروشنده مطبوعات",1,1,NA,2,NA,NA,NA,3,1161,0,"Admin",NA,"Admin",NA
1270001002,"2",NA,NA,"داراي درامد بدون کار",1,1,NA,2,NA,NA,NA,4,830,0,"Admin",NA,"Admin",NA
1270001003,"2",NA,NA,"فروشنده مصالح ساختماني",1,1,NA,2,NA,NA,NA,3,875,0,"Admin",NA,"Admin",NA
1270001004,"2",NA,NA,"نظامي نيروي هوايي",1,1,NA,2,NA,NA,NA,4,1053,0,"Admin",NA,"Admin",NA
1270001005,"2",NA,NA,"فروشنده خوار و بار",1,1,NA,2,NA,NA,NA,4,879,1,"Admin",NA,"Admin",NA
1270073001,"4",NA,NA,"سم پاشي درختان",1,1,NA,2,NA,NA,NA,4,430,0,"Admin",NA,"Admin",NA
1270073002,"4",NA,NA,"داراي درامد بدون کار",1,1,NA,2,NA,NA,NA,3,1120,0,"Admin",NA,"Admin",NA
1270073003,"4",NA,NA,"دفتردار سازمان کشاورزي",1,1,NA,2,NA,NA,NA,4,925,0,"Admin",NA,"Admin",NA
1270073004,"4",NA,NA,"مسافرکش شخصي",1,1,NA,2,NA,NA,NA,3,881,0,"Admin",NA,"Admin",NA
1270073005,"4",NA,NA,"داراي درامد بدون کار",1,1,NA,1,"خالي از سکنه-خانوار دسته جمعي بودن مکان نمونه اول","4","8",3,750,0,"Admin",NA,"Admin",NA
1270065004,"02",NA,NA,"داراي درامد بدون کار",1,1,NA,2,NA,NA,NA,3,682,0,"Admin",NA,"Admin",NA
1270045001,"03",NA,NA,"درامد بدون کار",1,1,NA,1,"خالي از سکنه بودن","000005","006",3,702,0,"Admin",NA,"Admin",NA
1270045002,"03",NA,NA,"درامد بدون کار",1,1,NA,2,NA,NA,NA,3,610,0,"Admin",NA,"Admin",NA
1270045005,"03",NA,NA,"کارگر مرغداري",1,1,NA,2,NA,NA,NA,3,679,0,"Admin",NA,"Admin",NA
1270005002,"04",NA,NA,"راننده وانت",1,1,NA,2,NA,NA,NA,3,440,0,"Admin",NA,"Admin",NA
1270005004,"04",NA,NA,"درامد بدون کار",1,1,NA,2,NA,NA,NA,3,566,0,"Admin",NA,"Admin",NA
1270045004,"03",NA,NA,"راننده وانت",1,1,NA,2,NA,NA,NA,3,739,2,"Admin",NA,"Admin",NA
1270045003,"03",NA,NA,"شيريني پز",1,1,NA,2,NA,NA,NA,3,896,0,"Admin",NA,"Admin",NA
1270005001,"04",NA,NA,"بنگاه معاملات ملکي",1,1,NA,2,NA,NA,NA,3,843,0,"Admin",NA,"Admin",NA
1270005003,"04",NA,NA,"کشاورز",1,1,NA,2,NA,NA,NA,3,858,0,"Admin",NA,"Admin",NA
1270005005,"04",NA,NA,"راننده وانت",1,1,NA,1,"نبودن خانوار","000028","006",3,848,0,"Admin",NA,"Admin",NA
1270141004,"04",NA,NA,"نظامي",1,1,NA,2,NA,NA,NA,3,854,0,"Admin",NA,"Admin",NA
1270141003,"04",NA,NA,"نظامي",1,1,NA,2,NA,NA,NA,3,827,0,"Admin",NA,"Admin",NA
